id_transaksi,id_warung,id_produk,tanggal,jam_transaksi,jenis,kategori,nominal,qty,metode_bayar,catatan
B9A72378-423,WRG-002,PRD-002-023,2026-04-03,11:16:29,pemasukan,Penjualan,22000.0,1.0,Transfer,
33F9D6F3-8AF,WRG-004,PRD-004-012,2026-04-19,09:21:14,Pemasukan,Penjualan,14000.0,1.0,Cash,
4358EE9D-3F2,WRG-005,PRD-005-009,2026-01-26,05:04:54,Pemasukan,Penjualan,25000.0,1.0,Cash,
7CAC2F07-F29,WRG-004,PRD-004-002,2025-12-13,16:17:42,Pemasokan,Penjualan,35000.0,10.0,Cash,
EF64395C-9DC,WRG-003,PRD-003-004,2025-11-09,05:38:45,Pemasukan,Penjualan,4000.0,1.0,QRIS,
B7EE0831-78E,WRG-005,PRD-005-026,2026-02-05,15:10:54,Pemasukan,Penjualan,8000.0,1.0,Cash,
90439F0B-8AC,WRG-005,PRD-005-020,2026-01-09,20:45:56,Pemasukan,Penjualan,2000.0,1.0,QRIS,
23BAB547-31B,WRG-004,PRD-004-016,2025-12-07,05:33:32,Pemasukan,Penjualan,14000.0,2.0,Cash,
2CA480C5-A43,WRG-002,PRD-002-013,2026-01-26,13:40:09,Pemasukan,Penjualan,22000.0,1.0,Cash,
BB6B500A-012,WRG-003,PRD-003-003,2025-10-19,05:01:10,Pemasukan,Penjualan,7000.0,1.0,,
40AFED41-ECF,WRG-004,PRD-004-012,2026-02-03,05:29:02,Pemasukan,Penjualan,28000.0,2.0,Cash,
78A637DF-C1E,WRG-005,PRD-005-015,2026-01-12,19:55:46,Pemasukan,Penjualan,22000.0,1.0,Cash,
DA9003CD-87F,WRG-002,PRD-002-001,2026-04-04,16:19:42,Pemasukan,Penjualan,4000.0,2.0,Cash,
B9A7502B-8AD,WRG-005,PRD-005-008,2025-11-04,11:58:12,Pemasukan,Penjualan,7000.0,1.0,Cash,
4A807BF4-94B,WRG-001,PRD-001-009,2026-02-07,13:20:21,Pemasukan,Penjualan,18000.0,2.0,QRIS,
5CD82257-056,WRG-002,PRD-002-017,2025-10-22,07:02:43,Pemasukan,Penjualan,17000.0,1.0,Cash,
4DF01EE6-203,WRG-001,PRD-001-006,2026-02-03,13:28:31,Pemasukan,Penjualan,25000.0,1.0,Cash,
F93218D6-BCC,WRG-001,PRD-001-020,2026-04-04,17:12:49,Pemasukan,HPP,3500.0,1.0,Transfer,
AC8CFA2C-7DB,WRG-003,PRD-003-017,2026-01-31,06:59:19,Pemasukan,Penjualan,10500.0,3.0,Cash,
EE6CE584-306,WRG-005,PRD-005-006,2025-11-08,17:03:05,Pemasukan,Penjualan,3500.0,1.0,QRIS,
7E20FB7D-266,WRG-001,PRD-001-018,2026-04-08,09:28:41,Pemasukan,Penjualan,22000.0,1.0,Cash,
7E1A658A-C95,WRG-005,PRD-005-024,2025-11-09,11:51:46,Pemasukan,Penjualan,10500.0,3.0,Cash,
59E8B83F-E7E,WRG-004,PRD-004-008,2026-01-09,11:43:02,Pemasukan,Penjualan,145000.0,1.0,QRIS,
CE2A2FC2-A56,WRG-004,PRD-004-017,2025-10-24,13:39:57,Pemasukan,Penjualan,3500.0,1.0,Cash,
A0C0450B-F2E,WRG-001,PRD-001-018,2026-02-09,06:42:37,Pemasukan,Penjualan,22000.0,1.0,Cash,
6ADA1F64-AE9,WRG-004,PRD-004-009,2025-11-19,09:32:45,Pemasukan,Penjualan,8000.0,1.0,QRIS,
D35B8ACB-423,WRG-003,PRD-003-017,2026-01-04,16:49:36,Pemasukan,Penjualan,10500.0,3.0,Cash,
B11FF892-90F,WRG-001,PRD-001-009,2025-12-07,11:00:04,Pemasukan,Penjualan,9000.0,1.0,Cash,
4BD35A4D-488,WRG-002,,2026-04-17,07:41:09,Pengeluaran,Operasional,98183.0,,Cash,Bayar parkir pasar
FBDCBBB7-836,WRG-004,PRD-004-019,2025-12-05,05:31:26,Pemasukan,Penjualan,10500.0,3.0,Cash,
998CF5E5-0EA,WRG-005,PRD-005-007,2026-03-08,13:35:05,Pemasukan,Penjualan,22000.0,1.0,Cash,
DADDDF4B-B5C,WRG-004,PRD-004-009,2025-12-08,17:19:08,Pemasukan,Penjualan,16000.0,2.0,Cash,
3275F6DE-EC4,WRG-004,PRD-004-009,2025-10-16,07:44:05,Pemasukan,Penjualan,16000.0,2.0,Cash,
8FCC5B92-C42,WRG-004,PRD-004-001,2026-02-21,06:36:50,Pemasukan,Penjualan,56000.0,2.0,Cash,
CB069E0B-AD1,WRG-004,PRD-004-002,2026-01-09,08:57:22,Pemasukan,Penjualan,7000.0,2.0,Cash,
5198D64D-BCC,WRG-004,PRD-004-006,2026-04-14,20:24:52,Pemasukan,Penjualan,3500.0,1.0,QRIS,
B63E62D8-588,WRG-001,PRD-001-015,2026-02-04,13:58:41,Pemasukan,Penjualan,22000.0,1.0,Cash,
84089C28-49B,WRG-002,PRD-002-001,2026-01-18,07:54:44,Pemasukan,Penjualan,4000.0,2.0,QRIS,
F33F2BDF-DB2,WRG-003,PRD-003-018,2026-03-10,05:08:30,Pemasukan,Penjualan,1000.0,1.0,Cash,
41D2590F-D71,WRG-002,,2026-02-01,08:45:05,Pengeluaran,Overhead,908714.0,,Transfer,Bayar wifi bulanan
616C754A-54E,WRG-003,PRD-003-004,2025-12-07,08:31:13,Pemasukan,Penjualan,4000.0,1.0,QRIS,
A8006748-D1A,WRG-005,PRD-005-029,2026-03-12,11:20:38,Pemasukan,Penjualan,12000.0,1.0,QRIS,
2A0E9EB5-EB7,WRG-001,PRD-001-010,2026-04-15,11:42:07,Pemasukan,Penjualan,60000.0,5.0,QRIS,
8409A946-14F,WRG-004,PRD-004-012,2025-10-14,16:51:26,Pemasukan,Penjualan,14000.0,1.0,Cash,
D3CF9EFA-82A,WRG-001,PRD-001-009,2026-02-12,07:43:49,Pemasukan,Penjualan,9000.0,1.0,Cash,
6F539251-6E0,WRG-005,PRD-005-009,2025-12-06,05:00:42,Pemasukan,Penjualan,25000.0,1.0,Cash,
0564A728-20F,WRG-005,PRD-005-018,2026-01-03,09:34:07,Pemasukan,Penjualan,22000.0,1.0,Cash,
12CCF276-015,WRG-002,PRD-002-022,2026-03-02,15:44:44,Pemasukan,Penjualan,28000.0,1.0,Cash,
D3E76D4A-86F,WRG-004,PRD-004-006,2025-10-11,12:11:20,Pemasukan,Penjualan,3500.0,1.0,QRIS,
2545CBFC-8F8,WRG-002,PRD-002-012,2026-01-15,17:11:44,Pemasukan,Penjualan,10500.0,3.0,Cash,
AC80CC86-7E9,WRG-003,PRD-003-011,2026-02-03,08:37:22,Pemasukan,Penjualan,12000.0,1.0,Cash,
89905277-123,WRG-004,,2025-10-26,06:02:28,Pengeluaran,HPP,699906.0,,Transfer,Restok beras ke agen
B24FAF0D-A63,WRG-001,PRD-001-017,2026-02-03,08:39:54,Pemasukan,Penjualan,3500.0,1.0,QRIS,
849E4750-4D3,WRG-002,,2025-11-22,07:05:20,Pengeluaran,HPP,990062.0,,Cash,
A369D812-A2A,WRG-005,PRD-005-004,2025-12-03,15:50:38,Pemasukan,Penjualan,18000.0,1.0,Cash,
B600E414-2CD,WRG-003,PRD-003-004,2026-02-19,19:13:29,Pemasukan,Penjualan,4000.0,1.0,Transfer,
0C5A3E2A-D43,WRG-004,PRD-004-003,2026-03-05,09:49:51,Pemasukan,Penjualan,25000.0,1.0,QRIS,
B900391E-016,WRG-001,PRD-001-021,2026-01-09,16:07:23,Pemasukan,Penjualan,95000.0,1.0,Cash,
120B94BE-2AC,WRG-005,PRD-005-021,2026-01-09,16:10:21,Pemasukan,Penjualan,68000.0,2.0,,
133E778C-05A,WRG-002,PRD-002-004,2025-12-02,18:55:58,income,Penjualan,10500.0,3.0,tf,
664C2BFA-DBB,WRG-004,PRD-004-011,2026-04-04,12:24:31,Pemasukan,Penjualan,36000.0,2.0,QRIS,
6A7A99CC-3C6,WRG-001,PRD-001-021,2025-11-03,,Pemasukan,Penjualan,190000.0,2.0,QRIS,
24725224-3F4,WRG-005,PRD-005-027,2025-12-07,06:56:30,Pemasukan,Penjualan,12000.0,1.0,QRIS,
4C2689E4-496,WRG-001,PRD-001-004,2025-10-04,09:40:07,Pemasukan,Penjualan,34000.0,1.0,Cash,
A9D5AAC7-A47,WRG-002,PRD-002-019,2025-11-25,09:08:51,Pemasukan,Penjualan,7000.0,2.0,QRIS,
A7A42142-904,WRG-001,PRD-001-014,2025-11-02,17:42:34,Pemasukan,Penjualan,28000.0,1.0,QRIS,
A3F07542-DEC,WRG-002,PRD-002-022,2025-11-17,11:41:19,Pemasukan,Penjualan,84000.0,3.0,Cash,
B1F60CB9-829,WRG-003,PRD-003-005,2025-11-06,07:47:20,income,Penjualan,18000.0,1.0,Transfer,
AE003EB0-FCF,WRG-003,PRD-003-012,2025-11-30,08:05:46,Pemasukan,Penjualan,120000.0,10.0,Cash,
A52C5A08-756,WRG-004,PRD-004-012,2026-04-08,05:25:56,Pemasukan,Penjualan,14000.0,1.0,Cash,
F242B488-86F,WRG-005,PRD-005-024,2026-02-16,08:09:49,pemasukan,Penjualan,7000.0,2.0,QRIS,
4009CF88-3C1,WRG-002,PRD-002-022,2026-01-05,07:44:35,Pemasukan,Penjualan,28000.0,1.0,cash,
DBCCAEF3-F3F,WRG-002,PRD-002-017,2026-03-01,07:12:16,Pemasukan,Penjualan,17000.0,1.0,Transfer,
C2B08E2D-DFE,WRG-004,PRD-004-002,2026-03-09,16:07:02,pemasukan,Penjualan,3500.0,1.0,Cash,
6B7C29B6-9A1,WRG-001,PRD-001-009,2025-12-19,06:33:32,Pemasukan,Penjualan,9000.0,1.0,QRIS,
F2E3E8F5-C8B,WRG-002,PRD-002-014,2026-04-18,07:49:11,Pemasukan,Penjualan,28000.0,2.0,QRIS,
1EC43800-D65,WRG-001,PRD-001-006,2026-02-12,05:44:02,Pemasukan,Penjualan,25000.0,1.0,Cash,
E120469A-EFE,WRG-003,,2026-03-27,13:15:56,Pengeluaaran,HPP,812686.0,,Transfer,Beli aqua 1 karton
1CFBEFE0-179,WRG-004,PRD-004-012,2025-11-27,18:30:10,Pemasukan,Penjualan,14000.0,1.0,Cash,
DA8E2EE7-B2D,WRG-002,PRD-002-021,2026-01-18,16:59:13,Pemasukan,Penjualan,15000.0,1.0,Cash,
6C7162BF-6C2,WRG-004,PRD-004-001,2025-11-23,06:17:55,Pemasukan,Penjualan,28000.0,1.0,Cash,
BDECBBFF-02F,WRG-002,PRD-002-013,2026-01-11,16:24:16,Pemasukan,Penjualan,44000.0,2.0,Cash,
6DC350B7-F48,WRG-002,PRD-002-023,2026-03-19,07:16:29,Pemasukan,Penjualan,22000.0,1.0,QRIS,
668072FD-B22,WRG-004,PRD-004-014,27-10-2025,11:08:13,Pemasukan,Penjualan,2000.0,1.0,cash ,
37AC28BF-234,WRG-005,PRD-005-017,2026-01-13,15:39:12,Pemasukan,Penjualan,20000.0,2.0,Cash,
5B506AD4-094,WRG-004,PRD-004-009,2025-10-27,12:49:39,Pemasukan,Penjualan,16000.0,2.0,QRIS,
667F85FF-B05,WRG-001,PRD-001-001,2025-12-05,16:40:34,Pemasukan,Penjualan,16000.0,2.0,Cash,
E3FD9B29-F20,WRG-003,PRD-003-004,2026-02-13,17:33:34,Pemasukan,Penjualan,4000.0,1.0,QRIS,
8C60E805-4FA,WRG-004,PRD-004-012,2025-10-28,06:04:32,Pemasukan,Penjualan,14000.0,1.0,QRIS,
438FC8CB-6A2,WRG-002,PRD-002-024,2026-04-19,15:10:59,Pemasukan,Penjualan,7000.0,1.0,Cash,
DA8BD703-3F6,WRG-001,PRD-001-018,2026-03-10,11:11:57,Pemasukan,Penjualan,22000.0,1.0,Cash,
F1A2B4F6-865,WRG-003,PRD-003-014,2025-11-05,15:14:58,Pemasukan,Penjualan,10000.0,1.0,Cash,
46477CF7-C55,WRG-001,PRD-001-017,2026-03-29,13:02:53,income,HPP,3500.0,1.0,Transfer,
4128B9AA-023,WRG-004,PRD-004-008,2026-03-17,09:33:57,Pemasukan,Penjualan,290000.0,2.0,Cash,
2FF26EC1-1BE,WRG-005,PRD-005-020,2025-10-08,11:10:03,Pemasukan,Penjualan,6000.0,3.0,QRIS,
3B6B2EEC-DC6,WRG-001,PRD-001-016,2025-10-01,12:10:47,Pemasukan,Penjualan,6000.0,3.0,Cash,
7404EAC1-609,WRG-001,PRD-001-006,2025-12-07,12:28:09,Pemasukan,Penjualan,25000.0,1.0,Cash,
302FABC5-791,WRG-005,PRD-005-019,16-02-2026,15:10:57,Pemasukan,Penjualan,95000.0,1.0,Transfer,
D1C2F748-B65,WRG-001,PRD-001-010,2025-10-14,08:23:16,Pemasukan,Penjualan,36000.0,3.0,Transfer,
087A59AF-ABF,WRG-002,PRD-002-002,28/01/2026,16:12:53,Pemasukan,Penjualan,25000.0,1.0,Cash,
90FD576C-689,WRG-003,PRD-003-002,2026-04-04,06:44:02,Pemasukan,Penjualan,17000.0,1.0,QRIS,
A44ED420-E20,WRG-003,PRD-003-021,2026-03-06,16:30:04,Pemasukan,Penjualan,3500.0,1.0,Cash,
19DFAD4D-E08,WRG-001,PRD-001-020,2025-11-16,16:51:48,Pemasukan,Penjualan,,1.0,QRIS,
0353495C-69B,WRG-002,PRD-002-002,2025-11-28,16:08:23,Pemasukan,Penjualan,25000.0,1.0,Transfer,
1C3F65C2-4D1,WRG-003,PRD-003-003,2026-04-03,16:11:55,Pemasukan,Penjualan,21000.0,3.0,QRIS,
921BB466-AD8,WRG-001,PRD-001-016,2025-11-07,08:36:47,income,Penjualan,2000.0,1.0,Cash,
C172FB49-66A,WRG-002,PRD-002-023,2025-12-08,,Pemasukan,Penjualan,22000.0,1.0,Cash,
C05A2672-D2D,WRG-001,PRD-001-003,2025-10-06,15:53:25,Pemasukan,Penjualan,22000.0,1.0,QRIS,
A091D407-8E6,WRG-001,PRD-001-003,2025-10-18,07:33:25,Pemasukan,Penjualan,22000.0,1.0,Transfer,
70CA74CE-8F2,WRG-005,PRD-005-005,2026-03-16,12:20:44,Pemasukan,Penjualan,28000.0,1.0,tunai,
8C9C2C30-4BC,WRG-003,PRD-003-021,2025-12-16,05:45:11,Pemasukan,Penjualan,17500.0,5.0,Cash,
4B7CD97B-8F6,WRG-003,PRD-003-013,2025-11-13,08:19:31,Pemasukan,Penjualan,15000.0,1.0,Cash,
83DB2F4B-D12,WRG-001,PRD-001-001,2025-11-01,12:25:42,Pemasukan,Penjualan,80000.0,1.0,Cash,
726794A5-A1C,WRG-004,PRD-004-017,2026-02-22,09:11:29,Pemasukan,Penjualan,10500.0,3.0,Transfer,
7992872A-C80,WRG-001,PRD-001-009,2025-11-03,13:32:55,PEMASUKAN,Penjualan,18000.0,2.0,Cash,
258D5A5F-CF3,WRG-002,PRD-002-004,2026-02-03,12:27:40,Pemasukan,Penjualan,3500.0,1.0,QRIS,
D2D29FBE-969,WRG-003,PRD-003-003,2026-03-10,06:58:00,Pemasukan,Penjualan,7000.0,1.0,QRIS,
B04C7D7C-381,WRG-001,PRD-001-011,2026-04-05,09:24:04,Pemasukan,Penjualan,290000.0,2.0,Cash,
0C547C23-F2C,WRG-002,PRD-002-024,2026-01-12,15:50:35,Pemasukan,Penjualan,35000.0,5.0,Cash,
D397D266-B43,WRG-002,,2025-12-20,08:54:02,Pengeluaran,HPP,333591.0,,Transfer,Restok beras ke agen
C549A37F-111,WRG-005,PRD-005-013,2025-11-25,07:24:38,Pemasukan,Operasional,5000.0,1.0,QRIS,
42A9DD17-786,WRG-004,PRD-004-008,2025-10-20,11:50:27,Pemasukan,Penjualan,145000.0,1.0,cash ,
D8327226-C55,WRG-005,PRD-005-001,2025-12-28,06:53:17,Pemasukan,Penjualan,28000.0,2.0,Cash,
224375E5-9FC,WRG-004,PRD-004-011,2026-03-07,07:24:38,Pemasukan,Penjualan,18000.0,1.0,Cash,
49703D4B-794,WRG-001,PRD-001-013,2025-10-01,11:29:08,Pemasukan,Penjualan,8000.0,1.0,QRIS,
C8AC3D0D-ED7,WRG-005,PRD-005-001,2025-12-09,16:54:19,Pemasukan,Penjualan,14000.0,1.0,QRIS,
9AD34225-CE4,WRG-003,PRD-003-016,2026-02-06,20:28:42,Pemasukan,Penjualan,95000.0,1.0,Cash,
A306937A-4A3,WRG-004,PRD-004-013,2026-03-23,11:37:23,Pemasukan,Penjualan,4000.0,1.0,QRIS,
A370266E-298,WRG-003,PRD-003-023,2025-10-02,11:57:45,Pemasukan,Penjualan,25000.0,1.0,Cash,
D9C7F049-BE1,WRG-004,PRD-004-016,2026-03-22,13:58:02,Pemasukan,Penjualan,14000.0,2.0,Transfer,
702C9DA8-479,WRG-005,PRD-005-006,2026-03-02,06:46:08,Pemasukan,Penjualan,7000.0,2.0,QRIS,
7C138033-912,WRG-003,PRD-003-012,2026-04-04,15:59:01,Pemasukan,Penjualan,12000.0,1.0,Qris,
C9C3AE39-CC2,WRG-005,PRD-005-020,2026-04-12,05:43:49,Pemasukan,Penjualan,10000.0,5.0,Cash,
F3F8AFC2-D58,WRG-005,PRD-005-015,2026-03-11,07:30:04,Pemasukan,Penjualan,22000.0,1.0,Transfer,
01337098-086,WRG-001,,2026-01-11,07:19:43,Pengeluaran,HPP,434754.0,,Transfer,Beli aqua 1 karton
10AB635C-B9E,WRG-002,PRD-002-025,2025-11-09,16:56:53,Pemasukan,Penjualan,3500.0,1.0,Cash,
1DCD1026-32B,WRG-003,PRD-003-016,2025-11-25,20:22:57,Pemasukan,Penjualan,95000.0,1.0,cash,
2BF35885-0E1,WRG-003,PRD-003-007,2026-04-06,17:38:24,Pemasukan,Penjualan,290000.0,2.0,Cash,
0BB0ED46-382,WRG-004,PRD-004-011,2025-11-12,07:23:31,Pemasukan,Penjualan,18000.0,1.0,Transfer,
BD87A7EF-420,WRG-001,PRD-001-006,2025-12-07,12:53:19,Pemasukan,Penjualan,25000.0,1.0,Cash,
91910296-3EC,WRG-003,PRD-003-007,2025-12-17,11:55:16,Pemasukan,Penjualan,290000.0,2.0,Cash,
38347233-B42,WRG-004,PRD-004-017,2025-10-07,08:34:22,Pemasukan,Penjualan,17500.0,5.0,Cash,
B5D9F524-2E2,WRG-004,PRD-004-017,2026-04-12,19:37:09,Pemasukan,Penjualan,3500.0,1.0,QRIS,
78C8F8D2-753,WRG-002,PRD-002-026,2025-12-12,08:50:25,Pemasukan,Penjualan,12000.0,3.0,Cash,
A69C27E1-272,WRG-005,PRD-005-007,2025-12-04,08:57:36,Pemasukan,Penjualan,22000.0,1.0,Cash,
F985DDDC-4B5,WRG-005,PRD-005-012,2026-03-21,11:57:23,Pemasukan,Penjualan,56000.0,2.0,Cash,
BEB423F3-F94,WRG-001,PRD-001-018,2025-10-08,09:17:50,Pemasukan,Penjualan,44000.0,2.0,QRIS,
889EE0D4-E4E,WRG-004,PRD-004-019,2025-10-17,20:12:03,Pemasukan,Penjualan,7000.0,2.0,QRIS,
F649CA3E-AB0,WRG-004,PRD-004-017,2025-12-12,15:16:25,Pemasukan,Penjualan,10500.0,3.0,Transfer,
623F2500-032,WRG-005,PRD-005-021,2025-12-18,09:01:50,Pemasukan,Penjualan,34000.0,1.0,Cash,
2FABB216-BC2,WRG-003,PRD-003-011,2026-03-12,05:01:54,Pemasukan,Penjualan,12000.0,1.0,Cash,
68F13BF8-3D3,WRG-004,PRD-004-008,2025-12-10,17:35:31,PEMASUKAN,Penjualan,145000.0,1.0,Transfer,
5D1BE144-390,WRG-002,PRD-002-023,2025-12-25,07:19:41,Pemasukan,Penjualan,22000.0,1.0,Cash,
523CEBE2-89C,WRG-003,PRD-003-014,2026-01-27,16:33:17,Pemasukan,Penjualan,20000.0,2.0,Cash,
6020FD40-0A6,WRG-002,PRD-002-020,2026-04-06,11:56:02,Pemasukan,Penjualan,36000.0,3.0,Trasfer,
791E8D12-AEF,WRG-003,PRD-003-002,2025-10-01,05:21:28,Pemasukan,Penjualan,17000.0,1.0,QRIS,
5642AFAC-794,WRG-004,PRD-004-018,2025-10-30,15:43:09,Pemasukan,Penjualan,1000.0,1.0,tunai,
DA82D0E2-1BC,WRG-004,PRD-004-003,2026-04-19,16:20:56,Pemasukan,Penjualan,50000.0,2.0,Cash,
604CD5E0-A04,WRG-005,PRD-005-015,01-10-2025,20:01:56,Pemasukan,Penjualan,22000.0,1.0,Transfer,
C59A3305-4AD,WRG-001,PRD-001-010,2026-02-24,16:26:07,Pemasukan,Penjualan,12000.0,1.0,QRIS,
33A7A7B8-87C,WRG-001,PRD-001-009,2025-12-17,20:30:11,Pemasukan,Penjualan,27000.0,3.0,Tunai,
956C5EDB-F9A,WRG-001,PRD-001-015,2026-03-13,09:32:33,Pemasukan,Penjualan,44000.0,2.0,Cash,
79C1B1A3-2B9,WRG-004,PRD-004-008,2026-01-21,16:21:36,Pemasokan,Penjualan,145000.0,1.0,Cash,
A8162616-694,WRG-005,PRD-005-008,2026-03-15,,PEMASUKAN,Penjualan,7000.0,1.0,Cash,
AF8A6D2E-188,WRG-005,PRD-005-001,2026-01-11,06:27:01,Pemasukan,Penjualan,70000.0,5.0,Cash,
638A8576-398,WRG-004,PRD-004-009,2026-02-08,12:58:46,Pemasukan,Penjualan,8000.0,1.0,QRIS,
7B2475BB-B02,WRG-005,PRD-005-013,2025-11-07,17:43:50,Pemasukan,Penjualan,15000.0,3.0,Cash,
B93AD8A7-B02,WRG-003,PRD-003-022,2026-03-01,16:59:19,Pemasukan,Penjualan,8000.0,1.0,Cash,
689834F7-211,WRG-005,PRD-005-025,2026-02-23,05:40:34,Pemasukan,Penjualan,8000.0,1.0,QRIS,
8418AD49-12F,WRG-002,PRD-002-002,2026-02-01,16:40:18,Pemasukan,Penjualan,25000.0,1.0,Cash,
BB1B1C7E-DA3,WRG-005,PRD-005-027,2025-11-19,13:33:18,Pemasukan,Penjualan,24000.0,2.0,Cash,
FF136126-60D,WRG-001,PRD-001-010,2026-03-11,12:44:19,Pemasukan,Penjualan,12000.0,1.0,Cash,
91CAF2D9-6C4,WRG-005,PRD-005-016,2026-04-10,06:15:45,Pemasukan,Penjualan,1000.0,1.0,Cash,
2E7D3E9F-C4E,WRG-005,PRD-005-018,2025-11-22,08:04:29,Pemasukan,Penjualan,22000.0,1.0,QRIS,
AC2D870D-692,WRG-005,PRD-005-023,2025-11-24,12:22:56,Pemasukan,Penjualan,7000.0,2.0,Cash,
308E930C-FDC,WRG-003,PRD-003-007,2025-11-19,17:35:35,Pemasukan,Penjualan,145000.0,1.0,Cash,
